Year;Day;Month;Site;Season;Habitat;DegLev;Bird ID;Sex;Plant Family;Plant ID;Activity;Folder;Picture;Time
2015;28;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151028AC;16184;17:29:52
2015;28;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151028AC;16819;17:40:27
2015;28;10;Yanacocha;Wet;Forest_Border;2;Diglossa lafresnayii;na;Ericaceae;Macleania rupestris;Feeding;151028AC;17845;17:57:33
2015;29;10;Yanacocha;Wet;Forest_Border;2;Diglossa lafresnayii;na;Ericaceae;Macleania rupestris;Feeding;151029AA;10593;8:56:41
2015;29;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151029AA;14975;10:09:43
2015;29;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151029AA;18663;11:11:11
2015;29;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151029AA;19231;11:20:39
2015;29;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151029AB;15014;17:10:22
2015;30;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151030AA;2262;6:37:50
2015;30;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151030AA;8333;8:19:01
2015;30;10;Yanacocha;Wet;Forest_Border;2;Metallura tyrianthina;na;Ericaceae;Macleania rupestris;Feeding;151030AA;12595;9:30:03
2015;30;10;Yanacocha;Wet;Forest_Border;2;Diglossa lafresnayii;na;Ericaceae;Macleania rupestris;Feeding;151030AA;16623;10:37:11
2016;7;3;Esperanza;Wet;Forest_Border;1;Eriocnemis nigrivestis;female;Ericaceae;Macleania rupestris;Feeding;030716_02;1547;13:25:55
2016;7;3;Esperanza;Wet;Forest_Border;1;Eriocnemis nigrivestis;female;Ericaceae;Macleania rupestris;Feeding;030716_02;1962;13:32:50
2016;7;3;Esperanza;Wet;Forest_Border;1;Eriocnemis nigrivestis;female;Ericaceae;Macleania rupestris;Feeding;030716_02;3514;13:58:42
