Year;Day;Month;Site;Season;Habitat;DegLev;Bird;Sex;Plant Family;Plant species;Activity;Folder;Picture;Time
2015;25;9;Verdecocha;Wet;Forest_interior;0;Eriocnemis luciani;na;Gesneriaceaee;Heppiella _sp;Feeding;150925AB;1268;13:21:16
2016;7;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160307AB;18445;18:07:03
2016;8;3;Esperanza;Wet;Forest_Border;1;Heliangelus strophianus;male;Gesneriaceaee;Capanea affinis;Feeding;160608AA;6907;7:55:15
2016;8;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160608AB;241;13:04:09
2016;8;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160608AB;9042;15:30:50
2016;8;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160608AB;17757;17:56:05
2016;9;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160309AA;5249;7:27:37
2016;9;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160309AB;4303;14:11:51
2016;10;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;NA;Gesneriaceaee;Capanea affinis;Feeding;160310AA;10023;8:47:11
2016;10;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160310AA;16127;10:28:55
2016;10;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160310AB;436;13:07:24
2016;10;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160310AB;9393;15:36:41
2016;11;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160311AA;1661;6:27:49
2016;11;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160311AA;6827;7:54:05
2016;11;3;Esperanza;Wet;Forest_Border;1;Coeligena lutetiae;female;Gesneriaceaee;Capanea affinis;Feeding;160311AA;21255;11:54:33
2015;6;7;Verdecocha;Dry;Forest_interior ;0;Trochilidae;na;Gesneriaceae;Heppiella _sp;Feeding;File001;8131;15:16:49
2015;7;7;Verdecocha;Dry;Forest_interior;0;Metallura tyrianthina;na;Gesneriaceae;Heppiella _sp;Feeding;File002;1876;6:31:24
